STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,DAPR,DAPR_ATTRIBUTES,MDPR,MDPR_ATTRIBUTES,MDSF,MDSF_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,TOBS,TOBS_ATTRIBUTES,WESD,WESD_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT03,WT03_ATTRIBUTES,WT04,WT04_ATTRIBUTES,WT05,WT05_ATTRIBUTES,WT06,WT06_ATTRIBUTES,WT11,WT11_ATTRIBUTES
USC00205662,"CENTRAL MICHIGAN UNIVERSITY, MI US",43.5859,-84.7694,242.3,1/1/75,,,,,,,0.18,",,0,0700",1.8,",,0,",4,",,0,",34,",,0",25,",,0",31,",,0,0700",,,,,,,,,,,,,,
USC00205662,"CENTRAL MICHIGAN UNIVERSITY, MI US",43.5859,-84.7694,242.3,1/2/75,,,,,,,0,"T,,0,0700",0,",,0,",,,32,",,0",15,",,0",16,",,0,0700",,,,,,,,,,,,,,
USC00205662,"CENTRAL MICHIGAN UNIVERSITY, MI US",43.5859,-84.7694,242.3,1/3/75,,,,,,,0.07,",,0,0700",0.7,",,0,",4,",,0,",30,",,0",13,",,0",29,",,0,0700",,,,,,,,,,,,,,
USC00205662,"CENTRAL MICHIGAN UNIVERSITY, MI US",43.5859,-84.7694,242.3,1/4/75,,,,,,,0.03,",,0,0700",0.3,",,0,",5,",,0,",34,",,0",27,",,0",30,",,0,0700",,,,,,,,,,,,,,
USC00205662,"CENTRAL MICHIGAN UNIVERSITY, MI US",43.5859,-84.7694,242.3,1/5/75,,,,,,,0,",,0,0700",0,",,0,",5,",,0,",38,",,0",19,",,0",25,",,0,0700",,,,,,,,,,,,,,
USC00205662,"CENTRAL MICHIGAN UNIVERSITY, MI US",43.5859,-84.7694,242.3,1/6/75,,,,,,,0,",,0,0700",0,",,0,",4,",,0,",30,",,0",20,",,0",24,",,0,0700",,,,,,,,,,,,,,
USC00205662,"CENTRAL MICHIGAN UNIVERSITY, MI US",43.5859,-84.7694,242.3,1/7/75,,,,,,,0,"T,,0,0700",0,",,0,",3,",,0,",35,",,0",23,",,0",33,",,0,0700",,,,,,,,,,,,,,
USC00205662,"CENTRAL MICHIGAN UNIVERSITY, MI US",43.5859,-84.7694,242.3,1/8/75,,,,,,,0.14,",,0,0700",0,",,0,",3,",,0,",38,",,0",31,",,0",35,",,0,0700",,,,,,,,,,,,,,
USC00205662,"CENTRAL MICHIGAN UNIVERSITY, MI US",43.5859,-84.7694,242.3,1/9/75,,,,,,,0.01,",,0,0700",0,",,0,",,,39,",,0",34,",,0",36,",,0,0700",,,,,,,,,,,,,,
USC00205662,"CENTRAL MICHIGAN UNIVERSITY, MI US",43.5859,-84.7694,242.3,1/10/75,,,,,,,0.43,",,0,0700",0,",,0,",1,",,0,",38,",,0",32,",,0",35,",,0,0700",,,,,,,,,,,,,,
