STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,MDPR,MDPR_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,TOBS,TOBS_ATTRIBUTES,WT05,WT05_ATTRIBUTES
USC00206080,"OIL CITY 2 S, MI US",43.5816,-84.5888,207.3,11/1/06,,,0,",,0,0730",0,"P,,0,",0,"P,,0,",56,",,0",23,",,0",25,",,0,0730",,
USC00206080,"OIL CITY 2 S, MI US",43.5816,-84.5888,207.3,11/2/06,,,0,",,0,0730",0,"P,,0,",0,"P,,0,",43,",,0",23,",,0",36,",,0,0730",,
USC00206080,"OIL CITY 2 S, MI US",43.5816,-84.5888,207.3,11/3/06,,,0,",,0,0730",0,"P,,0,",0,"P,,0,",36,",,0",24,",,0",30,",,0,0730",,
USC00206080,"OIL CITY 2 S, MI US",43.5816,-84.5888,207.3,11/4/06,,,0,"P,,0,0730",0,"P,,0,",0,"P,,0,",,,,,,,,
USC00206080,"OIL CITY 2 S, MI US",43.5816,-84.5888,207.3,11/5/06,,,0,",,0,0730",0,"P,,0,",0,"P,,0,",49,",,0",21,",,0",49,",,0,0730",,
USC00206080,"OIL CITY 2 S, MI US",43.5816,-84.5888,207.3,11/6/06,,,0,",,0,0730",0,"P,,0,",0,"P,,0,",56,",,0",28,",,0",35,",,0,0730",,
USC00206080,"OIL CITY 2 S, MI US",43.5816,-84.5888,207.3,11/7/06,,,0,",,0,0730",0,"P,,0,",0,"P,,0,",63,",,0",33,",,0",46,",,0,0730",,
USC00206080,"OIL CITY 2 S, MI US",43.5816,-84.5888,207.3,11/8/06,,,0,",,0,0730",0,"P,,0,",0,"P,,0,",54,",,0",44,",,0",47,",,0,0730",,
USC00206080,"OIL CITY 2 S, MI US",43.5816,-84.5888,207.3,11/9/06,,,0,",,0,0730",0,"P,,0,",0,"P,,0,",54,",,0",43,",,0",43,",,0,0730",,
USC00206080,"OIL CITY 2 S, MI US",43.5816,-84.5888,207.3,11/10/06,,,0,",,0,0730",0,"P,,0,",0,"P,,0,",67,",,0",27,",,0",29,",,0,0730",,
USC00206080,"OIL CITY 2 S, MI US",43.5816,-84.5888,207.3,11/11/06,,,1.06,",,0,0730",0,"P,,0,",0,"P,,0,",49,",,0",27,",,0",36,",,0,0730",,
USC00206080,"OIL CITY 2 S, MI US",43.5816,-84.5888,207.3,11/12/06,,,0,"P,,0,0730",0,"P,,0,",0,"P,,0,",,,,,,,,
USC00206080,"OIL CITY 2 S, MI US",43.5816,-84.5888,207.3,11/13/06,,,0,"P,,0,0730",0,"P,,0,",0,"P,,0,",,,,,,,,
USC00206080,"OIL CITY 2 S, MI US",43.5816,-84.5888,207.3,11/14/06,,,0,"P,,0,0730",0,"P,,0,",0,"P,,0,",,,,,,,,
USC00206080,"OIL CITY 2 S, MI US",43.5816,-84.5888,207.3,11/15/06,,,0,"P,,0,0730",0,"P,,0,",0,"P,,0,",,,,,,,,
USC00206080,"OIL CITY 2 S, MI US",43.5816,-84.5888,207.3,11/16/06,,,0,"P,,0,0730",0,"P,,0,",0,"P,,0,",,,,,,,,
USC00206080,"OIL CITY 2 S, MI US",43.5816,-84.5888,207.3,11/17/06,,,0,"P,,0,0730",0,"P,,0,",0,"P,,0,",,,,,,,,
USC00206080,"OIL CITY 2 S, MI US",43.5816,-84.5888,207.3,11/18/06,,,0,"P,,0,0730",0,"P,,0,",0,"P,,0,",,,,,,,,
USC00206080,"OIL CITY 2 S, MI US",43.5816,-84.5888,207.3,11/19/06,,,0,"P,,0,0730",0,"P,,0,",0,"P,,0,",,,,,,,,
USC00206080,"OIL CITY 2 S, MI US",43.5816,-84.5888,207.3,11/20/06,,,0,"P,,0,0730",0,"P,,0,",0,"P,,0,",,,,,,,,
USC00206080,"OIL CITY 2 S, MI US",43.5816,-84.5888,207.3,11/21/06,,,0,",,0,0730",0,"P,,0,",0,"P,,0,",44,",,0",23,",,0",31,",,0,0730",,
