"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT05","WT05_ATTRIBUTES"
"USC00206080","OIL CITY 2 S, MI US","43.5816","-84.5888","207.3","2007-06-01",,,,,"0.00",",,0,0730","0.0","P,,0,","0.0","P,,0,","89",",,0","60",",,0","65",",,0,0730",,
"USC00206080","OIL CITY 2 S, MI US","43.5816","-84.5888","207.3","2007-06-02",,,,,"0.04",",,0,0730","0.0","P,,0,","0.0","P,,0,","83",",,0","60",",,0","72",",,0,0730",,
"USC00206080","OIL CITY 2 S, MI US","43.5816","-84.5888","207.3","2007-06-03",,,,,"0.14",",,0,0730","0.0","P,,0,","0.0","P,,0,","87",",,0","58",",,0","69",",,0,0730",,
"USC00206080","OIL CITY 2 S, MI US","43.5816","-84.5888","207.3","2007-06-04",,,,,"1.01",",,0,0730","0.0","P,,0,","0.0","P,,0,","69",",,0","63",",,0","64",",,0,0730",,
"USC00206080","OIL CITY 2 S, MI US","43.5816","-84.5888","207.3","2007-06-05",,,,,"0.38",",,0,0730","0.0","P,,0,","0.0","P,,0,","73",",,0","50",",,0","51",",,0,0730",,
"USC00206080","OIL CITY 2 S, MI US","43.5816","-84.5888","207.3","2007-06-06",,,,,"0.00",",,0,0730","0.0","P,,0,","0.0","P,,0,","60",",,0","34",",,0","40",",,0,0730",,
"USC00206080","OIL CITY 2 S, MI US","43.5816","-84.5888","207.3","2007-06-07",,,,,"0.00",",,0,0730","0.0","P,,0,","0.0","P,,0,","73",",,0","38",",,0","60",",,0,0730",,
"USC00206080","OIL CITY 2 S, MI US","43.5816","-84.5888","207.3","2007-06-08",,,,,"0.00",",,0,0730","0.0","P,,0,","0.0","P,,0,","90",",,0","58",",,0","69",",,0,0730",,
"USC00206080","OIL CITY 2 S, MI US","43.5816","-84.5888","207.3","2007-06-09",,,,,"0.00",",,0,0730","0.0","P,,0,","0.0","P,,0,","82",",,0","42",",,0","53",",,0,0730",,
"USC00206080","OIL CITY 2 S, MI US","43.5816","-84.5888","207.3","2007-06-10",,,,,"0.00",",,0,0730","0.0","P,,0,","0.0","P,,0,","80",",,0","44",",,0","65",",,0,0730",,
"USC00206080","OIL CITY 2 S, MI US","43.5816","-84.5888","207.3","2007-06-11",,,,,"0.00",",,0,0730","0.0","P,,0,","0.0","P,,0,","84",",,0","50",",,0","55",",,0,0730",,
"USC00206080","OIL CITY 2 S, MI US","43.5816","-84.5888","207.3","2007-06-12",,,,,"0.00",",,0,0730","0.0","P,,0,","0.0","P,,0,","84",",,0","45",",,0","49",",,0,0730",,
"USC00206080","OIL CITY 2 S, MI US","43.5816","-84.5888","207.3","2007-06-13",,,,,"0.00",",,0,0730","0.0","P,,0,","0.0","P,,0,","88",",,0","47",",,0","55",",,0,0730",,
"USC00206080","OIL CITY 2 S, MI US","43.5816","-84.5888","207.3","2007-06-14",,,,,"0.00",",,0,0730","0.0","P,,0,","0.0","P,,0,","92",",,0","53",",,0","57",",,0,0730",,
"USC00206080","OIL CITY 2 S, MI US","43.5816","-84.5888","207.3","2007-06-15",,,,,"0.00",",,0,0730","0.0","P,,0,","0.0","P,,0,","92",",,0","55",",,0","58",",,0,0730",,
"USC00206080","OIL CITY 2 S, MI US","43.5816","-84.5888","207.3","2007-06-16",,,,,"0.00",",,0,0730","0.0","P,,0,","0.0","P,,0,","88",",,0","57",",,0","80",",,0,0730",,
"USC00206080","OIL CITY 2 S, MI US","43.5816","-84.5888","207.3","2007-06-17",,,,,"0.00",",,0,0730","0.0","P,,0,","0.0","P,,0,","90",",,0","60",",,0","75",",,0,0730",,
"USC00206080","OIL CITY 2 S, MI US","43.5816","-84.5888","207.3","2007-06-18",,,,,"0.00",",,0,0730","0.0","P,,0,","0.0","P,,0,","88",",,0","62",",,0","67",",,0,0730",,
"USC00206080","OIL CITY 2 S, MI US","43.5816","-84.5888","207.3","2007-06-19",,,,,"0.20",",,0,0730","0.0","P,,0,","0.0","P,,0,","93",",,0","65",",,0","67",",,0,0730",,
"USC00206080","OIL CITY 2 S, MI US","43.5816","-84.5888","207.3","2007-06-20",,,,,"0.00",",,0,0730","0.0","P,,0,","0.0","P,,0,","81",",,0","47",",,0","51",",,0,0730",,
"USC00206080","OIL CITY 2 S, MI US","43.5816","-84.5888","207.3","2007-06-21",,,,,"0.08",",,0,0730","0.0","P,,0,","0.0","P,,0,","82",",,0","49",",,0","60",",,0,0730",,
"USC00206080","OIL CITY 2 S, MI US","43.5816","-84.5888","207.3","2007-06-22",,,,,"0.00",",,0,0730","0.0","P,,0,","0.0","P,,0,","82",",,0","49",",,0","49",",,0,0730",,
"USC00206080","OIL CITY 2 S, MI US","43.5816","-84.5888","207.3","2007-06-23",,,,,,,"0.0","P,,0,","0.0","P,,0,",,,,,,,,
"USC00206080","OIL CITY 2 S, MI US","43.5816","-84.5888","207.3","2007-06-24",,,,,,,"0.0","P,,0,","0.0","P,,0,",,,,,,,,
"USC00206080","OIL CITY 2 S, MI US","43.5816","-84.5888","207.3","2007-06-25",,,,,,,"0.0","P,,0,","0.0","P,,0,",,,,,,,,
"USC00206080","OIL CITY 2 S, MI US","43.5816","-84.5888","207.3","2007-06-26",,,,,"0.00",",,0,0730","0.0","P,,0,","0.0","P,,0,","91",",,0","62",",,0","64",",,0,0730",,
"USC00206080","OIL CITY 2 S, MI US","43.5816","-84.5888","207.3","2007-06-27",,,,,"0.00",",,0,0730","0.0","P,,0,","0.0","P,,0,","94",",,0","62",",,0","68",",,0,0730",,
"USC00206080","OIL CITY 2 S, MI US","43.5816","-84.5888","207.3","2007-06-28",,,,,"0.44",",,0,0730","0.0","P,,0,","0.0","P,,0,","92",",,0","55",",,0","58",",,0,0730",,
"USC00206080","OIL CITY 2 S, MI US","43.5816","-84.5888","207.3","2007-06-29",,,,,"0.00",",,0,0730","0.0","P,,0,","0.0","P,,0,","75",",,0","45",",,0","52",",,0,0730",,
"USC00206080","OIL CITY 2 S, MI US","43.5816","-84.5888","207.3","2007-06-30",,,,,"0.00",",,0,0730","0.0","P,,0,","0.0","P,,0,","79",",,0","43",",,0","71",",,0,0730",,
"USC00206080","OIL CITY 2 S, MI US","43.5816","-84.5888","207.3","2007-07-01",,,,,"0.00",",,0,0730","0.0","P,,0,","0.0","P,,0,","81",",,0","44",",,0","70",",,0,0730",,
"USC00206080","OIL CITY 2 S, MI US","43.5816","-84.5888","207.3","2007-07-02",,,,,"0.00",",,0,0730","0.0","P,,0,","0.0","P,,0,","75",",,0","39",",,0","43",",,0,0730",,
"USC00206080","OIL CITY 2 S, MI US","43.5816","-84.5888","207.3","2007-07-03",,,,,"0.00",",,0,0730","0.0","P,,0,","0.0","P,,0,","75",",,0","41",",,0","59",",,0,0730",,
"USC00206080","OIL CITY 2 S, MI US","43.5816","-84.5888","207.3","2007-07-04",,,,,"0.58",",,0,0730","0.0","P,,0,","0.0","P,,0,","81",",,0","57",",,0","67",",,0,0730",,
"USC00206080","OIL CITY 2 S, MI US","43.5816","-84.5888","207.3","2007-07-05",,,,,"0.00",",,0,0730","0.0","P,,0,","0.0","P,,0,","80",",,0","60",",,0","62",",,0,0730",,
"USC00206080","OIL CITY 2 S, MI US","43.5816","-84.5888","207.3","2007-07-06",,,,,"0.00",",,0,0730","0.0","P,,0,","0.0","P,,0,","86",",,0","55",",,0","58",",,0,0730",,
"USC00206080","OIL CITY 2 S, MI US","43.5816","-84.5888","207.3","2007-07-07",,,,,"0.00",",,0,0730","0.0","P,,0,","0.0","P,,0,","87",",,0","53",",,0","79",",,0,0730",,
"USC00206080","OIL CITY 2 S, MI US","43.5816","-84.5888","207.3","2007-07-08",,,,,"0.00",",,0,0730","0.0","P,,0,","0.0","P,,0,","90",",,0","63",",,0","77",",,0,0730",,
"USC00206080","OIL CITY 2 S, MI US","43.5816","-84.5888","207.3","2007-07-09",,,,,"0.00",",,0,0730","0.0","P,,0,","0.0","P,,0,","97",",,0","75",",,0","76",",,0,0730",,
"USC00206080","OIL CITY 2 S, MI US","43.5816","-84.5888","207.3","2007-07-10",,,,,"0.00",",,0,0730","0.0","P,,0,","0.0","P,,0,","90",",,0","63",",,0","66",",,0,0730",,
"USC00206080","OIL CITY 2 S, MI US","43.5816","-84.5888","207.3","2007-07-11",,,,,"0.22",",,0,0730","0.0","P,,0,","0.0","P,,0,","94",",,0","59",",,0","60",",,0,0730",,
"USC00206080","OIL CITY 2 S, MI US","43.5816","-84.5888","207.3","2007-07-12",,,,,"0.02",",,0,0730","0.0","P,,0,","0.0","P,,0,","77",",,0","52",",,0","55",",,0,0730",,
"USC00206080","OIL CITY 2 S, MI US","43.5816","-84.5888","207.3","2007-07-13",,,,,"0.11",",,0,0730","0.0","P,,0,","0.0","P,,0,","77",",,0","48",",,0","50",",,0,0730",,
"USC00206080","OIL CITY 2 S, MI US","43.5816","-84.5888","207.3","2007-07-14",,,,,"0.22",",,0,0730","0.0","P,,0,","0.0","P,,0,",,,,,,,,
"USC00206080","OIL CITY 2 S, MI US","43.5816","-84.5888","207.3","2007-07-15",,,,,,,"0.0","P,,0,","0.0","P,,0,",,,,,,,,
"USC00206080","OIL CITY 2 S, MI US","43.5816","-84.5888","207.3","2007-07-16",,,,,"0.00",",,0,0730","0.0","P,,0,","0.0","P,,0,",,,"47",",,0","48",",,0,0730",,
"USC00206080","OIL CITY 2 S, MI US","43.5816","-84.5888","207.3","2007-07-17",,,,,"0.00",",,0,0730","0.0","P,,0,","0.0","P,,0,","81",",,0","47",",,0","59",",,0,0730",,
"USC00206080","OIL CITY 2 S, MI US","43.5816","-84.5888","207.3","2007-07-18",,,,,"0.00",",,0,0730","0.0","P,,0,","0.0","P,,0,","80",",,0","57",",,0","63",",,0,0730",,
